user_id,item_id,rating,timestamp
u196,i242,3,881250949
u186,i302,3,891717742
u22,i377,1,878887116
u244,i51,2,880606923
u166,i346,1,886397596
u298,i474,4,884182806
u115,i265,2,881171488
u253,i465,5,891628467
u305,i451,3,886324817
u6,i86,3,883603013
u62,i257,2,879372434
u286,i1014,5,879781125
u200,i222,5,876042340
u210,i40,3,891035994
u224,i29,3,888104457
u303,i785,3,879485318
u122,i387,5,879270459
u194,i274,2,879539794
u291,i1042,4,874834944
u234,i1184,2,892079237
u119,i392,4,886176814
u167,i486,4,892738452
u299,i144,4,877881320
u291,i118,2,874833878
u308,i1,4,887736532
u95,i546,2,879196566
u38,i95,5,892430094
u102,i768,2,883748450
u63,i277,4,875747401
u160,i234,5,876861185
u50,i246,3,877052329
u301,i98,4,882075827
u225,i193,4,879539727
u290,i88,4,880731963
u97,i194,3,884238860
u157,i274,4,886890835
u181,i1081,1,878962623
u278,i603,5,891295330
u276,i796,1,874791932
u7,i32,4,891350932
u10,i16,4,877888877
u284,i304,4,885329322
u201,i979,2,884114233
u276,i564,3,874791805
u287,i327,5,875333916
u246,i201,5,884921594
u242,i1137,5,879741196
u249,i241,5,879641194
u99,i4,5,886519097
u178,i332,3,882823437
u251,i100,4,886271884
u81,i432,2,876535131
u260,i322,4,890618898
u25,i181,5,885853415
u59,i196,5,888205088
u72,i679,2,880037164
u87,i384,4,879877127
u290,i143,5,880474293
u42,i423,5,881107687
u292,i515,4,881103977
u115,i20,3,881171009
u20,i288,1,879667584
u201,i219,4,884112673
u13,i526,3,882141053
u246,i919,4,884920949
u138,i26,5,879024232
u167,i232,1,892738341
u60,i427,5,883326620
u57,i304,5,883698581
u223,i274,4,891550094
u189,i512,4,893277702
u243,i15,3,879987440
u92,i1049,1,890251826
u246,i416,3,884923047
u194,i165,4,879546723
u241,i690,2,887249482
u178,i248,4,882823954
u254,i1444,3,886475558
u293,i5,3,888906576
u127,i229,5,884364867
u225,i237,5,879539643
u299,i229,3,878192429
u225,i480,5,879540748
u276,i54,3,874791025
u291,i144,5,874835091
u222,i366,4,878183381
u267,i518,5,878971773
u42,i403,3,881108684
u11,i111,4,891903862
u95,i625,4,888954412
u8,i338,4,879361873
u162,i25,4,877635573
u87,i1016,4,879876194
u279,i154,5,875296291
u145,i275,2,885557505
u119,i1153,5,874781198
u62,i498,4,879373848
u62,i382,3,879375537
u28,i209,4,881961214
u135,i23,4,879857765
u32,i294,3,883709863
u90,i382,5,891383835
u286,i208,4,877531942
u293,i685,3,888905170
u216,i144,4,880234639
u166,i328,5,886397722
u250,i496,4,878090499
u271,i132,5,885848672
u160,i174,5,876860807
u265,i118,4,875320714
u198,i498,3,884207492
u42,i96,5,881107178
u168,i151,5,884288058
u110,i307,4,886987260
u58,i144,4,884304936
u90,i648,4,891384754
u271,i346,4,885844430
u62,i21,3,879373460
u279,i832,3,881375854
u237,i514,4,879376641
u94,i789,4,891720887
u128,i485,3,879966895
u298,i317,4,884182806
u44,i195,5,878347874
u264,i200,5,886122352
u194,i385,2,879524643
u72,i195,5,880037702
u222,i750,5,883815120
u250,i264,3,878089182
u41,i265,3,890687042
u224,i245,3,888082216
u82,i135,3,878769629
u262,i1147,4,879791710
u293,i471,3,888904884
u216,i658,3,880245029
u250,i140,3,878092059
u59,i23,5,888205300
u286,i379,5,877533771
u244,i815,4,880605185
u7,i479,4,891352010
u174,i368,1,886434402
u87,i274,4,879876734
u194,i1211,2,879551380
u82,i1134,2,884714402
u13,i836,2,882139746
u13,i272,4,884538403
u244,i756,2,880605157
u305,i427,5,886323090
u95,i787,2,888954930
u43,i14,2,883955745
u299,i955,4,889502823
u57,i419,3,883698454
u84,i405,3,883452363
u269,i504,4,891449922
u299,i111,3,877878184
u194,i466,4,879525876
u160,i135,4,876860807
u99,i268,3,885678247
u10,i486,4,877886846
u259,i117,4,874724988
u85,i427,3,879456350
u303,i919,4,879467295
u213,i273,5,878870987
u121,i514,3,891387947
u90,i98,5,891383204
u49,i559,2,888067405
u42,i794,3,881108425
u155,i323,2,879371261
u68,i117,4,876973939
u172,i177,4,875537965
u19,i4,4,885412840
u268,i231,4,875744136
u5,i2,3,875636053
u305,i117,2,886324028
u44,i294,4,883612356
u43,i137,4,875975656
u279,i1336,1,875298353
u80,i466,5,887401701
u254,i164,4,886472768
u298,i281,3,884183336
u279,i1240,1,892174404
u66,i298,4,883601324
u18,i443,3,880130193
u268,i1035,2,875542174
u99,i79,4,885680138
u13,i98,4,881515011
u26,i258,3,891347949
u7,i455,4,891353086
u222,i755,4,878183481
u200,i673,5,884128554
u119,i328,4,876923913
u213,i172,5,878955442
u276,i322,3,874786392
u94,i1217,3,891723086
u130,i379,4,875801662
u38,i328,4,892428688
u160,i719,3,876857977
u293,i1267,3,888906966
u26,i930,2,891385985
u130,i216,4,875216545
u92,i1079,3,886443455
u256,i452,4,882164999
u1,i61,4,878542420
u72,i48,4,880036718
u56,i755,3,892910207
u13,i360,4,882140926
u15,i405,2,879455957
u92,i77,3,875654637
u207,i476,2,884386343
u292,i174,5,881105481
u232,i483,5,888549622
u251,i748,2,886272175
u224,i26,3,888104153
u181,i220,4,878962392
u259,i255,4,874724710
u305,i471,4,886323648
u52,i280,3,882922806
u161,i202,5,891170769
u148,i408,5,877399018
u125,i235,2,892838559
u97,i228,5,884238860
u58,i1098,4,884304936
u83,i234,4,887665548
u90,i347,4,891383319
u272,i178,5,879455113
u194,i181,3,879521396
u125,i478,4,879454628
u110,i688,1,886987605
u299,i14,4,877877775
u151,i10,5,879524921
u269,i127,4,891446165
u6,i14,5,883599249
u54,i106,3,880937882
u303,i69,5,879467542
u16,i944,1,877727122
u301,i790,4,882078621
u276,i1091,3,874793035
u305,i214,2,886323068
u194,i1028,2,879541148
u91,i323,2,891438397
u87,i554,4,879875940
u294,i109,4,877819599
u286,i171,4,877531791
u200,i318,5,884128458
u229,i328,1,891632142
u178,i568,4,882826555
u303,i842,2,879484804
u62,i65,4,879374686
u207,i591,3,876018608
u92,i172,4,875653271
u301,i401,4,882078040
u36,i339,5,882157581
u70,i746,3,884150257
u63,i242,3,875747190
u28,i201,3,881961671
u279,i68,4,875307407
u250,i7,4,878089716
u14,i98,3,890881335
u299,i1018,3,889502324
u194,i54,3,879525876
u303,i815,3,879485532
u119,i237,5,874775038
u295,i218,5,879966498
u268,i930,2,875742942
u268,i2,2,875744173
u66,i258,4,883601089
u233,i202,5,879394264
u83,i623,4,880308578
u214,i334,3,891542540
u192,i476,2,881368243
u100,i344,4,891374868
u268,i145,1,875744501
u301,i56,4,882076587
u307,i89,5,879283786
u234,i141,3,892334609
u83,i576,4,880308755
u181,i264,2,878961624
u297,i133,4,875240090
u38,i153,5,892430369
u7,i382,4,891352093
u264,i813,4,886122952
u181,i872,1,878961814
u201,i146,1,884140579
u85,i507,4,879456199
u269,i367,3,891450023
u59,i468,3,888205855
u286,i143,4,889651549
u193,i96,1,889124507
u113,i595,5,875936424
u292,i11,5,881104093
u130,i1014,3,876250718
u275,i98,4,875155140
u189,i520,5,893265380
u219,i82,1,889452455
u218,i209,5,877488546
u123,i427,3,879873020
u119,i222,5,874775311
u158,i177,4,880134407
u222,i118,4,877563802
u302,i322,2,879436875
u279,i501,3,875308843
u301,i79,5,882076403
u181,i3,2,878963441
u201,i695,1,884140115
u13,i198,3,881515193
u1,i189,3,888732928
u145,i237,5,875270570
u23,i385,4,874786462
u201,i767,4,884114505
u296,i705,5,884197193
u42,i546,3,881105817
u33,i872,3,891964230
u301,i554,3,882078830
u16,i64,5,877720297
u95,i135,3,879197562
u154,i357,4,879138713
u77,i484,5,884733766
u296,i508,5,884196584
u302,i303,2,879436785
u244,i673,3,880606667
u222,i77,4,878183616
u13,i215,5,882140588
u16,i705,5,877722736
u270,i452,4,876956264
u145,i15,2,875270655
u187,i64,5,879465631
u200,i304,5,876041644
u170,i749,5,887646170
u101,i829,3,877136138
u184,i218,3,889909840
u128,i204,4,879967478
u181,i1295,1,878961781
u184,i153,3,889911285
u1,i33,4,878542699
u1,i160,4,875072547
u184,i321,5,889906967
u54,i595,3,880937813
u94,i343,4,891725009
u128,i508,4,879967767
u23,i323,2,874784266
u301,i227,3,882077222
u301,i191,3,882075672
u112,i903,1,892440172
u82,i183,3,878769848
u222,i724,3,878181976
u218,i430,3,877488316
u308,i1197,4,887739521
u303,i134,5,879467959
u133,i751,3,890588547
u215,i212,2,891435680
u69,i256,5,882126156
u254,i662,4,887347350
u276,i2,4,874792436
u104,i984,1,888442575
u63,i1067,3,875747514
u267,i410,4,878970785
u13,i56,5,881515011
u240,i879,3,885775745
u286,i237,2,875806800
u294,i271,5,889241426
u90,i1086,4,891384424
u18,i26,4,880129731
u92,i229,3,875656201
u308,i649,4,887739292
u144,i89,3,888105691
u191,i302,4,891560253
u59,i951,3,888206409
u200,i96,5,884129409
u16,i197,5,877726146
u61,i678,3,892302309
u271,i199,4,885848448
u271,i709,3,885849325
u142,i169,5,888640356
u275,i597,3,876197678
u222,i151,3,878182109
u87,i40,3,879876917
u207,i258,4,877879172
u272,i1393,2,879454663
u177,i333,4,880130397
u207,i1115,2,879664906
u299,i577,3,889503806
u271,i378,4,885849447
u305,i425,4,886324486
u49,i959,2,888068912
u94,i1224,3,891722802
u130,i1017,3,874953895
u10,i175,3,877888677
u203,i321,3,880433418
u191,i286,4,891560842
u43,i323,3,875975110
u21,i558,5,874951695
u197,i96,5,891409839
u13,i344,2,888073635
u194,i66,3,879527264
u234,i206,4,892334543
u308,i402,4,887740700
u308,i640,4,887737036
u269,i522,5,891447773
u94,i265,4,891721889
u268,i62,3,875310824
u272,i12,5,879455254
u121,i291,3,891390477
u296,i20,5,884196921
u134,i286,3,891732334
u180,i462,5,877544218
u234,i612,3,892079140
u104,i117,2,888465972
u38,i758,1,892434626
u269,i845,1,891456255
u7,i163,4,891353444
u234,i1451,3,892078343
u275,i405,2,876197645
u52,i250,3,882922661
u102,i823,3,888801465
u13,i186,4,890704999
u178,i731,4,882827532
u236,i71,3,890116671
u256,i781,5,882165296
u263,i176,5,891299752
u244,i186,3,880605697
u279,i1181,4,875314001
u43,i815,4,883956189
u83,i78,2,880309089
u151,i197,5,879528710
u254,i436,2,886474216
u109,i631,3,880579371
u297,i716,3,875239422
u249,i188,4,879641067
u144,i699,4,888106106
u301,i604,4,882075994
u64,i392,3,889737542
u92,i501,2,875653665
u222,i97,4,878181739
u268,i436,3,875310745
u293,i135,5,888905550
u213,i173,5,878955442
u160,i460,2,876861185
u13,i498,4,882139901
u59,i715,5,888205921
u5,i17,4,875636198
u125,i163,5,879454956
u174,i315,5,886432749
u114,i505,3,881260203
u213,i515,4,878870518
u23,i196,2,874786926
u128,i15,4,879968827
u239,i56,4,889179478
u181,i279,1,878962955
u291,i80,4,875086354
u250,i238,4,878089963
u201,i649,3,884114275
u60,i60,5,883327734
u181,i325,2,878961814
u119,i407,3,887038665
u287,i1,5,875334088
u216,i228,3,880245642
u216,i531,4,880233810
u203,i471,4,880434463
u92,i587,3,875660408
u13,i892,3,882774224
u213,i176,4,878956338
u286,i288,5,875806672
u117,i1047,2,881009697
u99,i111,1,885678886
u11,i558,3,891904214
u65,i47,2,879216672
u295,i194,4,879517412
u269,i217,2,891451610
u85,i259,2,881705026
u250,i596,5,878089921
u137,i144,5,881433689
u201,i960,2,884112077
u257,i137,4,882049932
u111,i328,4,891679939
u91,i480,4,891438875
u215,i211,4,891436202
u181,i938,1,878961586
u189,i1060,5,893264301
u1,i20,4,887431883
u303,i404,4,879468375
u299,i305,3,879737314
u187,i210,4,879465242
u222,i278,2,877563913
u214,i568,4,892668197
u293,i770,3,888906655
u285,i191,4,890595859
u303,i252,3,879544791
u96,i156,4,884402860
u72,i1110,3,880037334
u115,i1067,4,881171009
u7,i430,3,891352178
u116,i350,3,886977926
u73,i480,4,888625753
u269,i246,5,891457067
u263,i419,5,891299514
u70,i431,3,884150257
u221,i475,4,875244204
u72,i182,5,880036515
u25,i357,4,885852757
u290,i50,5,880473582
u189,i526,4,893266205
u299,i303,3,877618584
u264,i294,3,886121516
u200,i365,5,884129962
u187,i135,4,879465653
u184,i187,4,889909024
u63,i289,2,875746985
